POZO,DEPTH,Unidad,X,Y,CALI,Core_GrnDn,Core_Kmax,Core_Por,Core_k_vert,GR,GR_Core,KLogs2,KTim,PEF,PHID,PHIE,PHIE1,PHIN,ResD,ResM,ResS,RHOB,Ro,RT,SwA,Vshl,Vshl1,FZI
Jacana Sur-1,10024.2,Paleosuelo Guadalupe,1148751.74,975765.68,8.5219,2.65,0.01,0.036,NaN,181.1249,135.71,0,0,2.3261,0.0479,0,0,0.6063,538.1488,321.141,167.279,2.5614,NaN,538.1488,1,1,1,0.443152222
Jacana Sur-1,10030.2,Paleosuelo Guadalupe,1148751.74,975765.68,8.3024,3.03,0.065,0.245,NaN,213.3557,218,0,0,2.233,0.084,0,0,26.0969,71.4732,37.3965,10.6905,2.5023,NaN,71.4732,1,1,1,0.049840702
Jacana Sur-1,10039.1,Paleosuelo Guadalupe,1148751.74,975765.68,8.5327,3.07,0.093,0.236,NaN,135.7181,139.82,0,0,2.2164,0.0575,0,0,6.7356,61.0668,40.3185,12.6019,2.5458,NaN,61.0668,1,1,1,0.063811136
Jacana Sur-1,10060.3,Paleosuelo Guadalupe,1148751.74,975765.68,8.691,2.643,0.001,0.015,NaN,94.3752,93.4,0,0,2.6306,0.0324,0,0,0.3967,32.1371,27.5111,28.7036,2.5868,30,32.1371,0.9338,1,1,0.532388897
Jacana Sur-1,10063.3,Paleosuelo Guadalupe,1148751.74,975765.68,8.837,2.637,0.018,0.013,NaN,96.0276,91.5,0,0,2.3627,0.0486,0,0,0.3686,28.997,25.8692,27.743,2.5604,30,28.997,1,1,1,2.805227094
Jacana Sur-1,10066.8,Paleosuelo Guadalupe,1148751.74,975765.68,8.7119,2.643,0.059,0.111,NaN,63.9783,62.8,4.0542,0.0034,2.2084,0.076,0.0712,0.0386,0.2822,39.8984,36.4722,35.0632,2.5154,29.8561,39.8984,0.8032,0.6556,0.813,0.183346636
Jacana Sur-1,10068.3,Paleosuelo Guadalupe,1148751.74,975765.68,8.8432,2.613,0.002,0.053,NaN,83.5383,65.7,0.1373,0.0002,2.2401,0.0615,0.0385,0.0184,0.2932,45.2517,44.963,40.1792,2.5391,29.0364,45.2517,0.6865,0.8181,0.9131,0.108988536
Jacana Sur-1,10072.1,Paleosuelo Guadalupe,1148751.74,975765.68,8.7771,2.585,0,0,NaN,91.9923,80.12,0,0,2.2616,0.0771,0,0,0.3327,38.0828,34.7876,35.8008,2.5135,30,38.0828,0.7875,1,1,NaN
Jacana Sur-1,10075.7,Paleosuelo Guadalupe,1148751.74,975765.68,8.7761,2.644,0.063,0.082,NaN,93.741,75.32,0,0,2.2439,0.077,0,0,0.3546,43.3148,37.0434,40.2946,2.5138,30,43.3148,0.6927,1,1,0.308121374
Jacana Sur-1,10078.6,Paleosuelo Guadalupe,1148751.74,975765.68,8.8691,2.637,0.027,0.107,NaN,77.8042,72.66,0.0413,0.0001,2.2864,0.0743,0.031,0.0143,0.312,45.2383,40.2679,37.9586,2.5181,28.4193,45.2383,0.6686,0.8634,0.9371,0.131639833
