POZO,DEPTH,Unidad,X,Y,CALI,Core_GrnDn,Core_Kmax,Core_Por,Core_k_vert,GR,GR_Core,KLogs2,KTim,PEF,PHID,PHIE,PHIE1,PHIN,ResD,ResM,ResS,RHOB,Ro,RT,SwA,Vshl,Vshl1,FZI
Jacana-24,10504.48,Arena Guadalupe,1147601.84,974788.61,9.0654,2.66,0.0015,0.07,NaN,71.0095,72.6904,2.4067,0.0022,2.1661,0.0342,0.0648,0.0365,0.2321,50.8015,43.7415,39.6892,2.5839,17.4251,50.8015,0.3697,0.6097,0.7803,0.061067644
Jacana-24,10507.5,Arena Guadalupe,1147601.84,974788.61,8.9859,2.64,0.5244,0.135,NaN,51.235,42.129,225.0489,156.1175,2.2839,0.1349,0.1474,0.1288,0.1912,36.2661,31.6434,24.1082,2.4187,45.2512,36.2661,1,0.1093,0.2218,0.39653036
Jacana-24,10508.1,Arena Guadalupe,1147601.84,974788.61,9.0911,2.62,0.0001,0.015,NaN,49.7797,45.8428,235.7063,172.495,2.1066,0.1379,0.1486,0.1328,0.185,35.8335,30.0018,23.3904,2.4139,49.2467,35.8335,1,0.0889,0.1857,0.168356152
Jacana-24,10509.92,Arena Guadalupe,1147601.84,974788.61,9.1206,2.63,1.6161,0.146,NaN,36.1592,35.2325,52.8921,24.51,2.0922,0.0898,0.1134,0.0928,0.1715,57.492,46.6556,33.621,2.4927,43.5379,57.492,0.8142,0.1719,0.3222,0.611071952
Jacana-24,10511.2,Arena Guadalupe,1147601.84,974788.61,9.1749,2.64,1.5382,0.131,NaN,49.1876,44.7551,118.7455,65.862,1.9296,0.113,0.1313,0.1091,0.189,36.7274,30.4277,24.4966,2.4547,41.3565,36.7274,1,0.1569,0.2995,0.713754541
Jacana-24,10512.74,Arena Guadalupe,1147601.84,974788.61,9.1614,2.64,0.0576,0.1,NaN,45.155,41.7946,216.3823,141.4219,1.9308,0.1324,0.1463,0.1247,0.1985,36.893,31.2162,24.3786,2.4229,41.3237,36.893,1,0.1324,0.2606,0.21447832
Jacana-24,10514.88,Arena Guadalupe,1147601.84,974788.61,9.0061,2.64,3.4992,0.154,NaN,46.8218,39.5784,180.1436,106.513,2.4771,0.1254,0.1416,0.1171,0.2031,43.2884,36.6214,28.3447,2.4343,38.0952,43.2884,0.9171,0.1613,0.3061,0.822248922
Jacana-24,10516.54,Arena Guadalupe,1147601.84,974788.61,9.0764,2.72,24.215,0.174,NaN,44.5579,39.1271,72.938,35.2498,2.0404,0.098,0.1202,0.0977,0.1821,47.9305,40.7426,32.5779,2.4793,40.7575,47.9305,0.8892,0.1782,0.3315,1.758442046
Jacana-24,10517.02,Arena Guadalupe,1147601.84,974788.61,9.0288,2.67,15.4227,0.173,NaN,42.8026,40.3441,72.4688,34.7083,2.0764,0.0976,0.12,0.0973,0.1829,45.2398,39.0044,31.743,2.4799,40.2868,45.2398,0.9195,0.1814,0.3363,1.41724916
Jacana-24,10519.14,Arena Guadalupe,1147601.84,974788.61,8.7802,2.64,0.0435,0.086,NaN,50.9913,55.9912,209.0472,121.2612,1.8402,0.1298,0.1454,0.1181,0.2147,53.656,46.722,35.3812,2.4271,34.7407,53.656,0.7396,0.1802,0.3345,0.237341015
